,carat,cut,color,clarity,depth,table,x,y,z,price_predict
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,4501.856733300323
1,1.5,Very Good,H,SI2,62.5,60.0,7.25,7.32,4.55,7420.642966978554
2,1.02,Very Good,H,SI2,63.5,58.0,6.34,6.38,4.04,5046.037217545417
3,2.2,Very Good,H,SI2,63.3,57.0,8.28,8.17,5.21,10883.609684901881
4,1.2,Very Good,H,SI2,62.1,59.0,6.75,6.8,4.21,5936.514373582843
5,2.08,Very Good,H,SI2,63.4,59.0,8.06,8.0,5.09,10289.958247543596
6,1.47,Very Good,H,SI2,59.1,56.0,7.46,7.51,4.42,7272.230107638983
7,1.0,Very Good,H,SI2,60.2,61.0,6.44,6.48,3.89,4947.095311319036
8,0.72,Very Good,H,SI2,63.3,57.0,5.7,5.67,3.6,3561.908624149706
9,0.75,Very Good,H,SI2,61.9,56.0,5.79,5.87,3.61,3710.321483489277
10,1.0,Very Good,H,SI2,61.6,58.0,6.43,6.47,3.97,4947.095311319036
11,1.05,Very Good,H,SI2,63.8,58.0,6.38,6.45,4.09,5194.450076884988
12,2.04,Very Good,H,SI2,60.0,60.0,8.21,8.17,4.91,10092.074435090834
13,0.56,Very Good,H,SI2,62.0,63.0,5.26,5.21,3.27,2770.3733743386606
14,1.01,Very Good,H,SI2,63.4,55.0,6.35,6.29,4.01,4996.5662644322265
15,1.16,Very Good,H,SI2,63.2,57.0,6.66,6.7,4.22,5738.630561130081
16,2.02,Very Good,H,SI2,59.9,55.0,8.17,8.28,4.93,9993.132528864453
17,1.13,Very Good,H,SI2,62.5,62.0,6.59,6.66,4.14,5590.217701790511
18,2.0,Very Good,H,SI2,61.0,57.0,8.02,8.18,4.94,9894.190622638072
19,1.03,Very Good,H,SI2,60.9,57.0,6.5,6.58,3.98,5095.508170658607
20,0.7,Very Good,H,SI2,59.9,57.0,5.74,5.77,3.45,3462.966717923325
21,0.9,Very Good,H,SI2,61.2,57.0,6.21,6.27,3.82,4452.385780187133
22,1.51,Very Good,H,SI2,60.8,58.0,7.4,7.51,4.53,7470.113920091745
23,1.11,Very Good,H,SI2,59.0,59.0,6.79,6.82,4.02,5491.275795564131
24,1.44,Very Good,H,SI2,58.2,61.0,7.45,7.51,4.35,7123.817248299412
25,0.72,Very Good,H,SI2,63.5,55.0,5.66,5.62,3.58,3561.908624149706
26,1.3,Very Good,H,SI2,62.8,58.0,6.93,7.01,4.38,6431.223904714748
