;code;codein;name;high;low;varBid;pctChange;bid;ask;timestamp;create_date
0;USD;BRLT;Dólar Turismo;5.18;5.15;0.03;0.549;5.18;5.49;1585676640000;2020-03-31 14:57:00
1;CAD;BRL;Dólar Canadense;3.6896;3.6257;0.0227;0.62;3.6863;3.6894;1585677520;2020-03-31 14:58:42
2;EUR;BRL;Euro;5.7423;5.6654;-0.0042;-0.07;5.731;5.7363;1585677520;2020-03-31 14:58:43
3;GBP;BRL;Libra Esterlina;6.4661;6.3635;0.014;0.22;6.459;6.4658;1585677520;2020-03-31 14:58:43
4;ARS;BRL;Peso Argentino;0.081;0.0803;0.0003;0.37;0.0809;0.0809;1585677517;2020-03-31 14:58:41
5;BTC;BRL;Bitcoin;33606.1;32500;200;0.61;33000;33190;1585677522;2020-03-31 14:58:43
6;LTC;BRL;Litecoin;201.96;198.15;1.93;0.97;200.03;200.99;1585677524;2020-03-31 14:58:44
7;JPY;BRL;Iene Japonês;0.04838;0.04769;0.0002;0.41;0.04836;0.04839;1585677524;2020-03-31 14:58:45
8;CHF;BRL;Franco Suíço;5.4226;5.3495;-0.0137;-0.25;5.401;5.4063;1585677520;2020-03-31 14:58:43
9;AUD;BRL;Dólar Australiano;3.2272;3.1536;-0.0181;-0.56;3.1839;3.1868;1585677522;2020-03-31 14:58:43
10;CNY;BRL;Yuan Chinês;0.7362;0.7287;0.0075;1.03;0.7354;0.7357;1585677484;2020-03-31 14:58:05
11;ILS;BRL;Novo Shekel Israelense;1.4695;1.4549;0.0183;1.26;1.4676;1.4681;1585677486;2020-03-31 14:58:06
12;ETH;BRL;Ethereum;120;120;0;0;144;959.99;1585674851;2020-03-31 14:14:12
13;XRP;BRL;Ripple;0.9;0.88;0.01;1.17;0.89;0.9;1585677519;2020-03-31 14:58:39
14;USD;BRLT;Dólar Turismo;5.19;5.15;0.04;0.733;5.18;5.5;1585677960000;2020-03-31 15:12:00
15;CAD;BRL;Dólar Canadense;3.7026;3.6257;0.0338;0.92;3.6982;3.6998;1585678375;2020-03-31 15:12:57
16;EUR;BRL;Euro;5.7423;5.6654;-0.0007;-0.01;5.7359;5.7386;1585678376;2020-03-31 15:12:57
