;Destino;Pais;Descrição;Hospedagem;Passagem;Pais_pt;Pais_en;Currency;ISO Code
0;Pantanal;Brasil;"Sobrevoei o Pantanal pela primeira vez em 1992, e o fumacê das queimadas mudava os tons do entardecer. Vi paisagens, grafismos e cores mais vibrantes à medida que o sol buscava o horizonte. Deixei a região acreditando ter visto o lugar mais bonito do mundo. Vinte anos depois, ainda tenho a mesma convicção. Depois de meia centena de viagens à região, digo que é de lá a melhor luz que um fotógrafo pode desejar; fora isso, entrei em contato com a cultura do homem pantaneiro, a fauna, os rios que invadem as terras na estação das chuvas e dão àquele lugar características tão próprias. Ao contrário das savanas aficanas, não é fácil ver os animais do Pantanal, embora ali seja um dos ecossistemas mais ricos do mundo, com cerca de 1 100 espécies. O céu na época da seca está sempre coalhado de aves muito diferentes, mas os mamíferos raramente se deixam ver. Por mais que você palmilhe o Pantanal, que você cruze boa parte do Mato Grosso e do Mato Grosso do Sul, há sempre algo mais para ver, há sempre uma razão para voltar. Na estação da cheia (outubro a março), a água renova o visual e tudo fica verdinho. O Pantanal tem três tipos de hospedagem: as voltadas para ecoturistas, as próprias para os pescadores e os hotéis do centro. Uma referência é o <a href=""https://www.sescpantanal.com.br/reservas.aspx"" rel=""noopener"" target=""_blank"">Hotel SESC Porto Cercado</a>, com estrutura voltada para o turismo ecológico e sustentável. Os hóspedes podem praticar arvorismo, fazer trilhas e observar animais.";"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;sid=605c56653290b80351df808102ac423d&amp;sb=1&amp;src=index&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Findex.pt-br.html%3Faid%3D332455%3Bsid%3D605c56653290b80351df808102ac423d%3Bsb_price_type%3Dtotal%26%3B&amp;ss=Pantanal%2C+Brasil&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;map=1&amp;b_h4u_keep_filters=&amp;from_sf=1&amp;ss_raw=Pantanal&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=4241&amp;dest_type=region&amp;place_id_lat=-20.024749&amp;place_id_lon=-56.520503&amp;search_pageview_id=8df2816c868e0020&amp;search_selected=true&amp;search_pageview_id=8df2816c868e0020&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0#map_closed"" rel=""noopener"" target=""_blank""><em>Busque hospedagens no Pantanal</em></a>";<em>Busque passagens aéreas para Campo grande</em>;Brasil;Brazil;Brazilian real;BRL
1;Nova York;Estados Unidos;"O hype está no <a href=""http://www.thehighline.org/visit"" rel=""noopener"" target=""_blank"">High Line</a> ou no <a href=""https://viagemeturismo.abril.com.br/materias/um-rolezinho-pelo-brooklyn-o-bairro-hipster-de-nova-york/"" rel=""noopener"" target=""_blank"">Brooklyn,</a> mas suba ao topo do <a href=""https://www.booking.com/hotel/us/gansevoort-manhattan.pt-br.html?aid=332455"" rel=""noopener"" target=""_blank"">Hotel Gansevoort</a> (9th Street) e veja o skyline de tantos filmes à sua frente.  Para ver outro skyline incrível – de frente para o <a href=""http://www.esbnyc.com/pt"" rel=""noopener"" target=""_blank"">Empire State Building</a> – e provar coquetéis, vá ao 230 Fifith, um rooftop lindíssimo com vista para Midtown. Como não há placas, pouca gente sabe que ele existe.";"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;sid=605c56653290b80351df808102ac423d&amp;sb=1&amp;src=index&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Findex.pt-br.html%3Faid%3D332455%3Bsid%3D605c56653290b80351df808102ac423d%3Bsb_price_type%3Dtotal%26%3B&amp;ss=Nova+York%2C+Estado+de+Nova+York%2C+Estados+Unidos&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;b_h4u_keep_filters=&amp;from_sf=1&amp;ss_raw=Nova+York&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=20088325&amp;dest_type=city&amp;place_id_lat=40.768074&amp;place_id_lon=-73.981895&amp;search_pageview_id=03e684823e0e0d57&amp;search_selected=true&amp;search_pageview_id=03e684823e0e0d57&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0"" rel=""noopener"" target=""_blank""> <em>Busque hospedagens em Nova York</em></a>";<em>Busque passagens aéreas para Nova York</em>;Estados Unidos;United States;United States dollar;USD
2;Alasca;Estados Unidos;A Glacial Bay dá ideia de como foi a era glacial, e Juneau tem minas da corrida do ouro. Quem quiser fazer um cruzeiro nas geleiras pode visitar o Kenai Fjords National Park, com muita chance de ver de perto baleias, glaciares, fiordes e labirintos de canais ladeados por muito gelo. Até as focas costumam dar as caras durante o passeio.;"<em><a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;sid=605c56653290b80351df808102ac423d&amp;sb=1&amp;src=searchresults&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Fsearchresults.pt-br.html%3Faid%3D332455%3Bsid%3D605c56653290b80351df808102ac423d%3Bclass_interval%3D1%3Bdest_id%3D4241%3Bdest_type%3Dregion%3Bdtdisc%3D0%3Bfrom_sf%3D1%3Bgroup_adults%3D2%3Bgroup_children%3D0%3Binac%3D0%3Bindex_postcard%3D0%3Blabel_click%3Dundef%3Bmap%3D1%3Bno_rooms%3D1%3Boffset%3D0%3Bpostcard%3D0%3Braw_dest_type%3Dregion%3Broom1%3DA%252CA%3Bsb_price_type%3Dtotal%3Bsearch_selected%3D1%3Bsrc%3Dindex%3Bsrc_elem%3Dsb%3Bss%3DPantanal%252C%2520Brasil%3Bss_all%3D0%3Bss_raw%3DPantanal%3Bssb%3Dempty%3Bsshis%3D0%26%3B&amp;ss=Alasca%2C+Estados+Unidos&amp;ssne=Pantanal&amp;ssne_untouched=Pantanal&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;group_adults=2&amp;group_children=0&amp;no_rooms=1&amp;from_sf=1&amp;ss_raw=Alasca&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=2992&amp;dest_type=region&amp;place_id_lat=61.057325&amp;place_id_lon=-148.056952&amp;search_pageview_id=5a6c841e288d010e&amp;search_selected=true&amp;search_pageview_id=5a6c841e288d010e&amp;ac_suggestion_list_length=1&amp;ac_suggestion_theme_list_length=0"" rel=""noopener"" target=""_blank""> Busque hospedagens no Alasca</a></em>";<em>Busque passagens aéreas para Anchorage</em>;Estados Unidos;United States;United States dollar;USD
3;Grand Canyon;Estados Unidos;Precipícios a 2 mil metros, 5 milhões de pessoas por ano. Vá de mula, de barco, de helicóptero desde Las Vegas. O que pouca gente sabe é que o Grand Canyon é uma das sete maravilhas do mundo.;"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;sid=605c56653290b80351df808102ac423d&amp;sb=1&amp;src=index&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Findex.pt-br.html%3Faid%3D332455%3Bsid%3D605c56653290b80351df808102ac423d%3Bsb_price_type%3Dtotal%26%3B&amp;ss=Grand+Canyon%2C+Estados+Unidos&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;map=1&amp;b_h4u_keep_filters=&amp;from_sf=1&amp;ss_raw=Grand+Canyon&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=3615&amp;dest_type=region&amp;place_id_lat=35.606901&amp;place_id_lon=-112.070635&amp;search_pageview_id=ca72853bf083000a&amp;search_selected=true&amp;search_pageview_id=ca72853bf083000a&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0#map_closed"" rel=""noopener"" target=""_blank""><em>Busque hospedagens próximas ao Grand Canyon</em></a>";<em>Busque passagens aéreas para Las Vegas</em>;Estados Unidos;United States;United States dollar;USD
4;Uyuni;Bolívia;O deserto de sal rodeado de vulcões a quase 4 mil metros de altitude é inóspito e belo. A quebrar a imensidão branca, só os cactos gigantes. A maneira mais comum de ir ao salar é fazer o passeio conjugado com o Deserto do Atacama, no Chile. O pacote dura em média quatro dias e inclui vistas além do deserto de sal: lagoas multicoloridas, vulcões e talvez o céu mais estrelado do mundo. O ponto de partida é Uyuni, vilarejo de onde saem os jipes (também é possível fazer a viagem contrária, partindo do Chile).;"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;lang=pt-br&amp;sid=eedbe6de09e709d664615ac6f1b39a5d&amp;sb=1&amp;src=index&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Findex.pt-br.html%3Faid%3D332455%3Bsid%3Deedbe6de09e709d664615ac6f1b39a5d%3Bsb_price_type%3Dtotal%26%3B&amp;ss=Uyuni%2C+%E2%80%8BSalar+de+Uyuni%2C+%E2%80%8BBol%C3%ADvia&amp;ssne=Ouro+Preto&amp;ssne_untouched=Ouro+Preto&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;from_sf=1&amp;ss_raw=Uyuni+&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=-703926&amp;dest_type=city&amp;search_pageview_id=5ac177d8e7890078&amp;search_selected=true&amp;search_pageview_id=5ac177d8e7890078&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0&amp;district_sel=0&amp;airport_sel=0&amp;landmark_sel=0"" rel=""noopener"" target=""_blank""><em>Busque hospedagens no Uyuni</em></a>";<em>Busque passagens aéreas para Calama</em>;Bolívia;Bolivia;Bolivian boliviano;BOB
5;El Chaltén;Argentina;Nos confins da Patagônia, rivaliza com o vizinho Calafate pela atenção dos turistas. Seu trunfo é o lindo Cerro Fitz Roy. Depois de observar a paisagem direto dos picos nevados de El Chaltén, com direito a avistar o Cerro Fitz Roy, você pode curtir a cidade que é conhecida como a capital argentina do trekking. Em El Chaltén, o Hotel Destino Sur tem 40 quartos com vista para a montanha e o Hotel Los Cerros tem spa com hidromassagem e sauna, também em meio aos picos nevados.;"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;lang=pt-br&amp;sid=eedbe6de09e709d664615ac6f1b39a5d&amp;sb=1&amp;src=searchresults&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Fsearchresults.pt-br.html%3Faid%3D332455%3Bsid%3Deedbe6de09e709d664615ac6f1b39a5d%3Bclass_interval%3D1%3Bdest_id%3D-703926%3Bdest_type%3Dcity%3Bdtdisc%3D0%3Bfrom_sf%3D1%3Bgroup_adults%3D2%3Bgroup_children%3D0%3Binac%3D0%3Bindex_postcard%3D0%3Blabel_click%3Dundef%3Bno_rooms%3D1%3Boffset%3D0%3Bpostcard%3D0%3Braw_dest_type%3Dcity%3Broom1%3DA%252CA%3Bsb_price_type%3Dtotal%3Bsearch_selected%3D1%3Bsrc%3Dindex%3Bsrc_elem%3Dsb%3Bss%3DUyuni%252C%2520%25E2%2580%258BSalar%2520de%2520Uyuni%252C%2520%25E2%2580%258BBol%25C3%25ADvia%3Bss_all%3D0%3Bss_raw%3DUyuni%3Bssb%3Dempty%3Bsshis%3D0%3Bssne_untouched%3DOuro%2520Preto%26%3B&amp;ss=+El+Chalt%C3%A9n&amp;ssne=Uyuni&amp;ssne_untouched=Uyuni&amp;city=-703926&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;from_sf=1"" rel=""noopener"" target=""_blank""><em>Busque hospedagens em El Chaltén</em></a>";<em> Busque passagens aéreas para El Calafate</em>;Argentina;Argentina;Argentine peso;ARS
6;Terra Ronca;Brasil;"As maiores cavernas do país impressionam pela beleza das formações de calcário, pelas dimensões de suas entradas, pelos raios de luz que incidem em claraboias e pelos rios de água potável que as atravessam. Pouco fiscalizado, o Parque Estadual Terra Ronca segue preservado graças à localização remota, em São Domingos, na divisa de Goiás com a Bahia. Calcula- se que tenha 95 cavernas, quatro abertas ao turismo. A maior delas, Angélica, tem 14 quilômetros de galerias. Ela, Terra Ronca, e São Vicente revelam suas belezas só a quem se dispõe a molhar o tênis e caminhar seguindo o curso de seus rios interiores. A <em><a href=""https://www.booking.com/hotel/br/pousada-sao-mateus.pt-br.html?aid=332455;sid=605c56653290b80351df808102ac423d;dest_id=900056545;dest_type=city;dist=0;group_adults=2;hapos=1;hpos=1;room1=A%2CA;sb_price_type=total;srepoch=1532373722;srfid=e798d28f603f4390f81bd2cf2e6e84867ab2382dX1;srpvid=bc81882c571702dd;type=total;ucfs=1�"" rel=""noopener"" target=""_blank"">Pousada São Mateus</a> </em>é praticamente a segunda sede do Parque Estadual Terra Ronca - e funciona como parada quase obrigatória para quem deseja visitar as cavernas. Na sede do parque é possível contratar guias.";"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;lang=pt-br&amp;sid=eedbe6de09e709d664615ac6f1b39a5d&amp;sb=1&amp;src=searchresults&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Fsearchresults.pt-br.html%3Faid%3D332455%3Bsid%3Deedbe6de09e709d664615ac6f1b39a5d%3Bcity%3D-703926%3Bclass_interval%3D1%3Bdest_id%3D900040411%3Bdest_type%3Dcity%3Bdtdisc%3D0%3Bfrom_sf%3D1%3Bgroup_adults%3D2%3Bgroup_children%3D0%3Binac%3D0%3Bindex_postcard%3D0%3Blabel_click%3Dundef%3Bno_rooms%3D1%3Boffset%3D0%3Bpostcard%3D0%3Broom1%3DA%252CA%3Bsb_price_type%3Dtotal%3Bsrc%3Dsearchresults%3Bsrc_elem%3Dsb%3Bss%3DEl%2520Chalt%25C3%25A9n%3Bss_all%3D0%3Bssb%3Dempty%3Bsshis%3D0%3Bssne_untouched%3DUyuni%26%3B&amp;ss=S%C3%A3o+Domingos&amp;ssne=El+Chalten&amp;ssne_untouched=El+Chalten&amp;city=900040411&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;from_sf=1"" rel=""noopener"" target=""_blank""><em>Busque hospedagens em São Domingos</em></a>";<em>Busque passagens aéreas para Goiás</em>;Brasil;Brazil;Brazilian real;BRL
7;Fernando de Noronha;Brasil;"Entre 1737 e 1942, Fernando de Noronha era sinônimo de inferno. A natureza não era muito diferente do que se vê hoje em dia, mas a ocupação era apenas de criminosos, presos políticos e desterrados em geral. Só nos anos 1970 é que seu relevo, a cor de suas águas, as praias recortadas e a diversidade de vida marinha ganharam fama, atraindo visitantes do mundo inteiro. Das únicas cinco praias cinco-estrelas do Brasil segundo o <a href=""http://viajeaqui.abril.com.br/guia4rodas"" rel=""noopener"" target=""_blank"">GUIA BRASIL 2012</a>, duas estão em Noronha. A do Sancho, uma delas, é também a melhor praia do país no Prêmio VT. Para conhecer algumas das mais belas praias do Brasil há um rígido controle de preservação – por dia, 450 pessoas podem desembarcar na ilha. Antes de embarcar, pague a taxa ambiental obrigatória pela <a href=""http://www.noronha.pe.gov.br/"" rel=""noopener"" target=""_blank"">internet</a>. Assim, você se livra de uma fila considerável ao chegar ao aeroporto.";"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;lang=pt-br&amp;sid=eedbe6de09e709d664615ac6f1b39a5d&amp;sb=1&amp;src=index&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Findex.pt-br.html%3Faid%3D332455%3Bsid%3Deedbe6de09e709d664615ac6f1b39a5d%3Bsb_price_type%3Dtotal%26%3B&amp;ss=Fernando+de+Noronha%2C+%E2%80%8BPernambuco%2C+%E2%80%8BBrasil&amp;ssne=Ouro+Preto&amp;ssne_untouched=Ouro+Preto&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;from_sf=1&amp;ss_raw=Fernando+de+Noronha+&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=900048482&amp;dest_type=city&amp;search_pageview_id=9201780ac4180149&amp;search_selected=true&amp;search_pageview_id=9201780ac4180149&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0&amp;district_sel=0&amp;airport_sel=0&amp;landmark_sel=0"" rel=""noopener"" target=""_blank""><em>Busque hospedagens em Fernando de Noronha</em></a>";<em>Busque passagens aéreas para Recife</em>;Brasil;Brazil;Brazilian real;BRL
8;Rio Tapajós;Brasil;"Com a chegada da seca, em agosto, surgem pontais de areia de curvas sensuais a adornar esse rio de 850 quilômetros de extensão, um dos mais belos afluentes do Amazonas. Livre de mosquitos, piranhas ou jacarés, convida ao banho e deixa claro que cada rio é um universo próprio na região. Sua beleza é saturada no distrito de Alter do Chão, em Santarém (PA), quando, no fim do ano, revela 19 praias de areia branca. Nade sem receio, experimente a piracaia (peixe na grelha pescado na hora) e contemple o céu estrelado, longe de qualquer sinal de civilização. Alter do Chão ganhou reconhecimento internacional em 2009, quando o jornal inglês The Guardian a colocou entre as dez mais belas praias do Brasil. O melhor período para visitar a cidade é entre agosto e fevereiro, quando chove menos e lindas praias surgem no meio do rio. No período da vazante o <a href=""http://www.beloalter.com.br/"" rel=""noopener"" target=""_blank"">Hotel Beloalter</a> ganha um trecho de praia quase exclusivo para aos hóspedes.";"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;lang=pt-br&amp;sid=eedbe6de09e709d664615ac6f1b39a5d&amp;sb=1&amp;src=searchresults&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Fsearchresults.pt-br.html%3Faid%3D332455%3Bsid%3Deedbe6de09e709d664615ac6f1b39a5d%3Bclass_interval%3D1%3Bdest_id%3D900048482%3Bdest_type%3Dcity%3Bdtdisc%3D0%3Bfrom_sf%3D1%3Bgroup_adults%3D2%3Bgroup_children%3D0%3Binac%3D0%3Bindex_postcard%3D0%3Blabel_click%3Dundef%3Bno_rooms%3D1%3Boffset%3D0%3Bpostcard%3D0%3Braw_dest_type%3Dcity%3Broom1%3DA%252CA%3Bsb_price_type%3Dtotal%3Bsearch_selected%3D1%3Bsrc%3Dindex%3Bsrc_elem%3Dsb%3Bss%3DFernando%2520de%2520Noronha%252C%2520%25E2%2580%258BPernambuco%252C%2520%25E2%2580%258BBrasil%3Bss_all%3D0%3Bss_raw%3DFernando%2520de%2520Noronha%3Bssb%3Dempty%3Bsshis%3D0%3Bssne_untouched%3DOuro%2520Preto%26%3B&amp;ss=Amazonas%2C+%E2%80%8BBrasil&amp;ssne=Fernando+de+Noronha&amp;ssne_untouched=Fernando+de+Noronha&amp;city=900048482&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;from_sf=1&amp;ss_raw=Amazonas&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=643&amp;dest_type=region&amp;search_pageview_id=49df7810f3b9067b&amp;search_selected=true&amp;search_pageview_id=49df7810f3b9067b&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0"" rel=""noopener"" target=""_blank""><em>Busque hospedagens no Amazonas</em></a>";<em>Busque passagens aéreas  para Santarém</em>;Brasil;Brazil;Brazilian real;BRL
9;Huaraz;Peru;A 400 quilômetros de Lima, a porção mais alta dos Andes peruanos tem belezas ao alcance de todos. Quem faz os circuitos de trekking vê de perto o relevo dramático dos vales nevados que se erguem rumo aos ilustres picos Alpamayo e Huscarán (este o mais alto do Peru, com 6 768 metros) e outros. Um ônibus leva a um dos lugares mais belos da região, a base do nevado Pastoruri, a 5 200 metros, onde uma caverna de gelo diminui a cada ano com o aquecimento global. Para ir ao Maciço de Huayhuash é preciso bem mais disposição: são dez dias de pernada. Huaraz tem fama de ser a melhor área de alpinismo de toda a América do Sul. Da capital são seis horas de ônibus até Huaraz, ponto de partida para os trekkings: às ruínas incas em Willcawain, ao sítio arqueológico de Chavin e a três lagos do Parque Nacional Huascaran.;"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;lang=pt-br&amp;sid=eedbe6de09e709d664615ac6f1b39a5d&amp;sb=1&amp;src=searchresults&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Fsearchresults.pt-br.html%3Faid%3D332455%3Bsid%3Deedbe6de09e709d664615ac6f1b39a5d%3Bcity%3D900048482%3Bclass_interval%3D1%3Bdest_id%3D643%3Bdest_type%3Dregion%3Bdtdisc%3D0%3Bfrom_sf%3D1%3Bgroup_adults%3D2%3Bgroup_children%3D0%3Binac%3D0%3Bindex_postcard%3D0%3Blabel_click%3Dundef%3Bno_rooms%3D1%3Boffset%3D0%3Bpostcard%3D0%3Braw_dest_type%3Dregion%3Broom1%3DA%252CA%3Bsb_price_type%3Dtotal%3Bsearch_selected%3D1%3Bsrc%3Dsearchresults%3Bsrc_elem%3Dsb%3Bss%3DAmazonas%252C%2520%25E2%2580%258BBrasil%3Bss_all%3D0%3Bss_raw%3DAmazonas%3Bssb%3Dempty%3Bsshis%3D0%3Bssne_untouched%3DFernando%2520de%2520Noronha%26%3B&amp;ss=Huaraz%2C+%E2%80%8BAncash%2C+%E2%80%8BPeru&amp;ssne=Amazonas&amp;ssne_untouched=Amazonas&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;from_sf=1&amp;ss_raw=Huaraz&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=-348854&amp;dest_type=city&amp;search_pageview_id=92017820d44f00ce&amp;search_selected=true&amp;search_pageview_id=92017820d44f00ce&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0"" rel=""noopener"" target=""_blank""><em>Busque hospedagens em Huaraz</em></a>";<em>Busque passagens aéreas para Lima </em>;Peru;Peru;Peruvian sol;PEN
