;Region/Country/Area;Tourist/visitor arrivals and tourism expenditure;Year;Series;Tourism arrivals series type;Tourism arrivals series type footnote;Value;Footnotes;Source;valor_expenditure;number_visitor
1;4;Afghanistan;2010;Tourism expenditure (millions of US dollars);;;147;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;147;
2;4;Afghanistan;2015;Tourism expenditure (millions of US dollars);;;87;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;87;
3;4;Afghanistan;2016;Tourism expenditure (millions of US dollars);;;69;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;69;
4;4;Afghanistan;2017;Tourism expenditure (millions of US dollars);;;19;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;19;
5;8;Albania;2010;Tourist/visitor arrivals (thousands);TF;;2191;Excluding nationals residing abroad.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;2191
6;8;Albania;2015;Tourist/visitor arrivals (thousands);TF;;3784;Excluding nationals residing abroad.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;3784
7;8;Albania;2016;Tourist/visitor arrivals (thousands);TF;;4070;Excluding nationals residing abroad.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;4070
8;8;Albania;2017;Tourist/visitor arrivals (thousands);TF;;4643;Excluding nationals residing abroad.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;4643
9;8;Albania;1995;Tourism expenditure (millions of US dollars);;;70;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;70;
10;8;Albania;2005;Tourism expenditure (millions of US dollars);;;880;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;880;
11;8;Albania;2010;Tourism expenditure (millions of US dollars);;;1778;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;1778;
12;8;Albania;2015;Tourism expenditure (millions of US dollars);;;1613;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;1613;
13;8;Albania;2016;Tourism expenditure (millions of US dollars);;;1820;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;1820;
14;8;Albania;2017;Tourism expenditure (millions of US dollars);;;2049;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;2049;
15;12;Algeria;1995;Tourist/visitor arrivals (thousands);VF;;520;Including nationals residing abroad.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;520
16;12;Algeria;2005;Tourist/visitor arrivals (thousands);VF;;1443;Including nationals residing abroad.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;1443
17;12;Algeria;2010;Tourist/visitor arrivals (thousands);VF;;2070;Including nationals residing abroad.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;2070
18;12;Algeria;2015;Tourist/visitor arrivals (thousands);VF;;1710;Including nationals residing abroad.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;1710
19;12;Algeria;2016;Tourist/visitor arrivals (thousands);VF;;2039;Including nationals residing abroad.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;2039
20;12;Algeria;2017;Tourist/visitor arrivals (thousands);VF;;2451;Including nationals residing abroad.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;2451
21;12;Algeria;2005;Tourism expenditure (millions of US dollars);;;477;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;477;
22;12;Algeria;2010;Tourism expenditure (millions of US dollars);;;324;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;324;
23;12;Algeria;2015;Tourism expenditure (millions of US dollars);;;347;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;347;
24;12;Algeria;2016;Tourism expenditure (millions of US dollars);;;246;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;246;
